+ favicon.png  871B → 1.8KB  (-106.0% saved)
+ media\projects\dataviz-gallery\The battle for Bakhmut.png  248.8KB → 52.9KB  (78.7% saved)
+ media\projects\dataviz-gallery\The European Parliament after Brexit.jpg  625.2KB → 122.8KB  (80.4% saved)
+ media\projects\dataviz-gallery\Top exporters of fertilizers.png  90.7KB → 30.7KB  (66.2% saved)
+ media\projects\dataviz-gallery\Top importers of fertilizers from Russia and Belarus.png  92.0KB → 31.2KB  (66.0% saved)
+ media\projects\dataviz-gallery\Tour de France 2020.jpg  584.2KB → 192.9KB  (67.0% saved)
+ media\projects\dataviz-gallery\Tour de France 2021.jpg  918.0KB → 170.2KB  (81.5% saved)
+ media\projects\dataviz-gallery\Tour de France 2023.jpg  1.4MB → 285.3KB  (79.9% saved)
+ media\projects\dataviz-gallery\Tracking the Russian invasion of Ukraine Ukraine conflict.jpg  220.9KB → 114.6KB  (48.1% saved)
+ media\projects\dataviz-gallery\Trends in COVID-19 infections and hospitalisations in Israel following vaccinations.jpg  231.3KB → 61.1KB  (73.6% saved)
+ media\projects\dataviz-gallery\Trump's Middle East peace plan.jpg  515.4KB → 105.5KB  (79.5% saved)
+ media\projects\dataviz-gallery\UK health and social care tax bill passed.jpg  238.7KB → 77.1KB  (67.7% saved)
+ media\projects\dataviz-gallery\Ukraine loses territory in Kursk.jpg  549.4KB → 140.4KB  (74.4% saved)
+ media\projects\dataviz-gallery\Ukraine ramps up its military budget.jpg  329.2KB → 84.4KB  (74.4% saved)
+ media\projects\dataviz-gallery\Ukraine's battle against Russia's drone swarms.jpg  493.4KB → 110.0KB  (77.7% saved)
+ media\projects\dataviz-gallery\Ukraine's military strength.jpg  540.8KB → 143.0KB  (73.6% saved)
+ media\projects\dataviz-gallery\Ukraine's supply to the World Food Programme.jpg  267.7KB → 64.0KB  (76.1% saved)
+ media\projects\dataviz-gallery\Vaccine prices in India.jpg  412.2KB → 100.8KB  (75.6% saved)
+ media\projects\dataviz-gallery\Wildfires in Turkey.jpg  1.3MB → 229.1KB  (82.8% saved)
+ media\projects\dataviz-gallery\Young, Indian, Unvaccinated.jpg  332.6KB → 80.6KB  (75.8% saved)
+ media\projects\soulace\ui1.gif  148.3KB → 86.2KB  (41.9% saved)
+ media\projects\soulace\ui2.gif  208.4KB → 117.1KB  (43.8% saved)
+ media\projects\soulace\ui3.gif  152.0KB → 86.0KB  (43.4% saved)
+ media\projects\soulace\ui4.gif  204.7KB → 122.0KB  (40.4% saved)
+ media\projects\soulace\ui5.gif  279.2KB → 112.8KB  (59.6% saved)
+ media\textures\subtle-dots.png  82B → 108B  (-31.7% saved)
+ media\tree.jpg  175.0KB → 77.6KB  (55.7% saved)

════════════════════════════════════════════════════════════
  WebP conversion
────────────────────────────────────────────────────────────
    WebP conversion  ·  2026-06-25 22:56:47  ·  mode: missing
    Source images: 262  |  Existing .webp: 142  |  To convert: 113
    113 converted, 0 failed, 0 skipped  ·  14.9s
    Total: 64.8MB → 14.7MB (77.3% saved)
════════════════════════════════════════════════════════════

